CODE_CLIENT,RAISON,STATUT_MARITAL,TITRE,TITRE_COEMP,GARANTIE,ASSURANCE,LOGEMENT,TYPE_LOGEMENT,PROFESSION,ENFANTS,ANCIENNETE_BANCAIRE,SALAIRE,SALAIRE_COEMP,NB_PERS,REVENU/TETE,LOYER,AGE,EMPRUNTS_COURANTS,DUREE_EMPRUNT,REMBOURSEMENT,SUCCES
4,TV,Marie,Mme,M.,Oui,Oui,Proprietaire,Appartement,Employe,2,3,6146,7925,4,3517,2241,32,0,4,Lent,N
5,Autre,Celibataire,Mlle,Aucun,Non,Non,Locataire,Appartement,Ouvrier,0,5,5803,0,1,5803,1200,26,124,2,Normal,N
7,Autre,Marie,Mme,M.,Oui,Oui,Proprietaire,Maison,Ouvrier,3,8,1964,1122,5,617,0,37,0,4,Lent,N
8,TV,Marie,Mme,M.,Oui,Non,Proprietaire,Appartement,Representant,4,16,5405,4777,6,1697,2633,35,0,2,Normal,N
11,TV,Marie,Mme,M.,Oui,Oui,Proprietaire,Appartement,Enseignant,2,15,29942,37804,4,16936,1920,35,0,3,Rapide,N
23,Courrier,Divorce,Mme,Aucun,Non,Oui,Proprietaire,Maison,Cadre,1,4,9054,0,2,4527,1572,41,988,2,Normal,N
24,TV,Celibataire,M.,Mme,Oui,Non,Locataire,Appartement,Ouvrier,0,7,8923,0,2,4461,2880,27,651,3,Rapide,N
25,TV,Marie,M.,Mme,Oui,Oui,Proprietaire,Maison,Ouvrier qualifie,0,8,7833,7958,2,7895,1280,42,868,4,Lent,N
27,Autre,Separe,Mme,Aucun,Non,Non,Locataire,Appartement,Employe de bureau,1,5,772,0,2,386,480,30,384,4,Lent,N
31,Autre,Celibataire,Mlle,Aucun,Non,Non,Locataire,Appartement,Employe de bureau,0,1,12796,0,1,12796,1200,36,930,3,Rapide,N
33,Autre,Marie,Mme,M.,Oui,Oui,Proprietaire,Maison,Ouvrier,0,6,10288,13125,2,11706,2919,66,0,3,Rapide,N
34,Autre,Marie,Mme,M.,Oui,Non,Locataire,Appartement,Retraite,0,9,6902,7142,2,7022,1760,30,0,4,Lent,N
36,Courrier,Divorce,Mme,Aucun,Non,Non,Locataire,Appartement,Employe de bureau,4,22,8251,0,5,1650,2276,39,1066,4,Lent,N
39,TV,Marie,Mme,Aucun,Non,Non,Proprietaire,Maison,Ouvrier qualifie,0,20,11981,0,1,11981,0,53,1458,3,Rapide,N
43,Autre,Marie,Mme,M.,Oui,Oui,Proprietaire,Maison,Ouvrier,1,20,5664,6787,3,4150,0,43,0,3,Lent,N
44,TV,Marie,M.,Mme,Oui,Non,Proprietaire,Maison,Ouvrier,0,30,6336,7459,2,6897,0,54,868,4,Lent,N
47,Autre,Divorce,Mme,Aucun,Non,Non,Proprietaire,Maison,Ouvrier qualifie,0,19,9011,0,1,9011,1292,39,250,1,Rapide,N
51,TV,Marie,M.,Mme,Oui,Non,Proprietaire,Maison,Enseignant,2,17,14787,8626,4,5853,3913,46,1313,3,Lent,N
53,Autre,Marie,M.,Mme,Oui,Oui,Proprietaire,Maison,Ouvrier qualifie,1,1,7193,7261,3,4818,2413,37,0,4,Lent,N
54,Autre,Divorce,M.,Aucun,Non,Oui,Proprietaire,Appartement,Cadre,1,9,23597,0,2,11798,2236,47,713,2,Normal,N
57,Autre,Celibataire,Mlle,Aucun,Non,Non,Locataire,Appartement,Employe de bureau,0,0,9504,0,1,9504,2480,26,0,3,Rapide,N
58,Autre,Marie,M.,Mme,Oui,Non,Proprietaire,Maison,Cadre,0,6,17784,17918,2,17851,0,51,1550,4,Lent,N
62,Courrier,Divorce,Mme,Aucun,Non,Oui,Locataire,Maison,Employe,0,20,3456,0,1,3456,1520,42,0,3,Lent,N
63,Autre,Marie,M.,Mme,Non,Non,Locataire,Appartement,Ouvrier,2,5,9360,6576,4,3984,2040,37,496,3,Rapide,N
64,Autre,Marie,M.,Mme,Oui,Oui,Proprietaire,Maison,Ouvrier,0,23,6240,0,2,3120,0,49,992,3,Rapide,N
65,Autre,Marie,M.,Mme,Oui,Non,Proprietaire,Maison,Retraite,0,14,28434,14307,2,21370,814,64,611,1,Rapide,N
66,TV,Marie,Mme,M.,Oui,Oui,Proprietaire,Appartement,Chomeur,4,18,0,0,6,0,0,37,0,4,Lent,N
